,Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
39,Beckenham Junction,537403,169840,51.410941601884666,-0.0257017391145474,4,BR3 1HY
40,Beckenham Road,536177,169650,51.40952967986142,-0.043391921968959,"3,4,5,6",BR3 4RR
41,Beckton,543145,181509,51.51437673300682,0.0615252971597842,3,E6 5NT
42,Beckton Park,542697,180887,51.50890088618667,0.0548219390453978,3,E6 5NE
43,Becontree,547598,184442,51.53958561974398,0.1268802926935937,5,RM9 4TP
44,Beddington Lane,529367,167215,51.389239651469765,-0.1421384331905475,"3,4,5,6",CR0 4TF
45,Belgrave Walk,526805,168455,51.40096135634269,-0.1784964722050899,"3,4,5,6",CR4 4NY
46,Bellingham,537702,172399,51.43386486264608,-0.0204117702937991,3,SE6 3BT
47,Belmont,525500,162098,51.34411959994204,-0.1994892508729616,5,SM2 6BH
48,Belsize Park,527399,185075,51.55019061178192,-0.1639744910255186,2,NW3 2AL
49,Belvedere,549498,179197,51.49195925487853,0.1520337932923139,5,DA17 6JW
50,Bermondsey,534461,179445,51.49796067750633,-0.0643300898115236,2,SE16 4RX
51,Berrylands,519728,168040,51.39876794902152,-0.2803214728845223,5,KT5 8LT
52,Bethnal Green,534995,182712,51.52719165312213,-0.055392111450162,2,E2 0ET
53,Bethnal Green Rail,534683,182380,51.524282643710485,-0.0600137423991465,2,E2 6JL
54,Bexley,549399,173502,51.44081477613684,0.1482039142729925,6,DA5 1AQ
55,Bexleyheath,548294,176000,51.46355017881958,0.1333629660724762,5,DA7 4AA
56,Bickley,542304,168799,51.40037964448855,0.0443040316998264,5,BR1 2EB
57,Birkbeck,535297,168996,51.40386300465971,-0.0562862355401811,4,BR3 4TA
58,Blackfriars,531738,180890,51.51158676169501,-0.1029953846245054,1,EC4V 4DD
59,Blackheath,539604,175961,51.46540802722941,0.0083365947125195,3,SE3 9LE
60,Blackhorse Lane,534362,166844,51.38474607036756,-0.0705339476144646,"3,4,5,6",CR0 6NL
61,Blackhorse Road,535914,189256,51.58577656484627,-0.0396257114650528,3,E17 6JJ
62,Blackwall,538394,180649,51.50783153133504,-0.0072351658776662,2,E14 9QB
63,Bond Street,528497,181053,51.513797282327445,-0.1496136085316461,1,W1C 2HU
64,Borough,532379,179734,51.50104871772216,-0.0941973226385839,1,SE1 1JX
65,Boston Manor,516391,178755,51.49576500584812,-0.3247471826223813,4,TW8 9LQ
66,Bounds Green,529996,191466,51.60703172061751,-0.1241770647347964,"3,4",N11 2EU
67,Bow Church,537414,182824,51.52761517272713,-0.0204998991771463,2,E3 3AA
68,Bow Road,537148,182753,51.52704176950966,-0.0243595906326814,2,E3 4DH
69,Bowes Park,530299,191498,51.60724932125086,-0.1197922183441603,"3,4",N22 8NL
70,Brent Cross,523905,187927,51.57659886839313,-0.2133358378663098,3,NW11 9UA
71,Brentford,517462,177864,51.487535802426834,-0.309622531111568,4,TW8 9LF
72,Brentwood,559321,193036,51.613610829903095,0.2996728214582176,9,CM14 4EW
73,Brimsdown,536297,196997,51.65524456622429,-0.0310922768910031,5,EN3 7NA
74,Brixton,531076,175437,51.46273661697816,-0.1145520968292283,2,SW9 8HE
75,Brockley,536405,175801,51.46474960336704,-0.0377482504677787,2,SE4 2RW
76,Bromley North,540395,169699,51.40894234206782,0.0172354519587101,4,BR1 3NN
77,Bromley South,540431,168705,51.40000131982635,0.0173595804973148,5,BR1 1LX
78,Bromley By Bow,538034,182532,51.52484018370095,-0.0116823743530453,"2,3",E3 3BT
79,Brondesbury,524718,184460,51.54526203281226,-0.2028384833427922,2,NW6 7QL
80,Brondesbury Park,524202,183898,51.54032502366848,-0.2104739441080781,2,NW6 6RP
81,Broxbourne,537407,207240,51.74701555272976,-0.0110240837822528,9,EN10 7AW
82,Bruce Grove,533758,190115,51.59401113363423,-0.07039898936228,3,N17 8AD
83,Buckhurst Hill,541768,193957,51.62657674004732,0.0467125414287692,5,IG9 5ET
84,Burnham,494007,181378,51.52350398967751,-0.6463882083350451,,SL1 6JT
85,Burnt Oak,520303,190728,51.60255148173764,-0.2643307082008112,4,HA8 0LA
86,Bush Hill Park,533696,195396,51.64148184854447,-0.0692804122261309,5,EN1 1BA
87,Bushey,511860,195318,51.64554353257736,-0.3847215327260823,8,WD19 4ST
88,Caledonian Road,530568,184899,51.54788524982811,-0.1183608610646948,2,N7 9BA
89,Caledonian Road & Barnsbury,530800,184393,51.54328438938168,-0.1152048559488143,2,N1 0SL
90,Cambridge Heath,534855,183250,51.5320596731624,-0.0572032006374023,2,E2 7NA
91,Camden Road,529140,184191,51.54185100885649,-0.1392031114010443,2,NW1 9LQ
92,Camden Town,528920,183976,51.53996912160411,-0.1424523798764894,2,NW1 8NH
93,Canada Water,535399,179493,51.49816833125088,-0.0508071208490972,2,SE16 7BB
94,Canary Wharf,537558,180153,51.50357837512887,-0.0194668401393244,2,E14 4QS
95,Canning Town,539454,181350,51.51387030350512,0.0083056327487643,3,E16 1DQ
96,Cannon Street,532623,180888,51.51136194370192,-0.0902505264150347,1,EC4N 6AP
97,Canonbury,532355,184979,51.54818823621243,-0.092574195328179,2,N1 2PG
98,Canons Park,518208,191246,51.60765009028535,-0.294391591494146,5,HA8 6RN
99,Carpenders Park,511826,193386,51.628186088758376,-0.3858293151270327,7,WD19 7DT
100,Carshalton,527737,164858,51.36842609544169,-0.166398326395598,5,SM5 2HT
101,Carshalton Beeches,527552,163625,51.357386565323054,-0.1694963244693624,5,SM5 3LG
102,Castle Bar Park,515853,181770,51.52297312488631,-0.3315040699380954,4,W7 1AY
103,Caterham,534099,155422,51.28216269622904,-0.0786072982130977,6,CR3 6LB
104,Catford,537245,173544,51.444264871170326,-0.0265384985567016,3,SE6 4XT
105,Catford Bridge,537363,173595,51.44469458702001,-0.0248218759100756,3,SE6 4RE
106,Centrale,532067,165785,51.37576730003021,-0.1038881032216323,"3,4,5,6",CR0 1XT
107,Chadwell Heath,547646,187611,51.56804709196961,0.1289011125681798,5,RM6 4BE
108,Chafford Hundred,558922,178770,51.485554969647055,0.2874757055480307,7,RM16 6QQ
109,Chalfont & Latimer,499610,197550,51.66790656389214,-0.5610677589431823,8,HP7 9PR
110,Chalk Farm,528126,184421,51.54414883734655,-0.1537330695060796,2,NW3 2BP
111,Chancery Lane,531096,181642,51.51849383581988,-0.1119620267624171,1,WC1V 6DR
112,Charing Cross,530234,180492,51.50835842818622,-0.1248029372330441,1,WC2N 5HS
113,Charlton,541108,178387,51.48683504159718,0.030941644861415,3,SE7 7AB
114,Cheam,524444,163334,51.35545989418584,-0.2142112809279711,5,SM3 8RZ
115,Chelsfield,546944,164021,51.3562647640171,0.1089841204169227,6,BR6 6EU
116,Chesham,496048,201650,51.705379023301255,-0.6114296352979314,9,HP5 1DH
117,Cheshunt,536652,202307,51.70287327834175,-0.0238874154296612,8,EN8 9AQ
118,Chessington North,518415,164168,51.364242952267205,-0.3004761235978513,6,KT9 2RT
119,Chessington South,517974,163319,51.35670402954921,-0.3070890151938865,6,KT9 2DD
120,Chigwell,543835,193045,51.61785799974183,0.0761792153523027,4,IG7 6NT
121,Chingford,539173,194628,51.63325339188138,0.0095143255308797,5,E4 6AL
122,Chipstead,527689,158275,51.30927470676411,-0.1694458678346424,6,CR5 3TD
123,Chislehurst,543205,169405,51.405598505329735,0.0574918216477489,5,BR7 5NN
124,Chiswick,520438,177182,51.48078105961514,-0.2670133177082469,3,W4 2QE
125,Chiswick Park,520352,178692,51.49437027794272,-0.2677369179922983,3,W4 5NE
126,Chorleywood,502596,196092,51.65426508092765,-0.5183339108571566,7,WD3 5ND
127,Church Street,532041,165555,51.37370639339632,-0.1043468282681188,"3,4,5,6",CR0 1RN
128,City Thameslink,531688,181150,51.5139349006601,-0.1036184485528027,1,EC4M 7JH
129,Clapham Common,529428,175291,51.46180344580792,-0.1383149013879234,2,SW4 7AJ
130,Clapham High Street,529824,175709,51.46546929922253,-0.132464501562701,2,SW4 6DQ
131,Clapham Junction,527198,175520,51.46436650778944,-0.1703150005441662,2,SW11 2QP
132,Clapham North,530003,175652,51.46491600472909,-0.1299100619146426,2,SW4 7TS
133,Clapham South,528782,174259,51.45267624920499,-0.1479840683302919,"2,3",SW12 9DU
134,Clapton,534748,186531,51.56156899642487,-0.0574894582650097,2,E5 9JP
135,Clock House,536367,169545,51.408540496896926,-0.0407020924973615,4,BR3 4PR
136,Cockfosters,528087,196424,51.65202423620424,-0.149916709772051,5,EN4 0DZ
137,Colindale,521295,189937,51.59523010894074,-0.2502875400711353,4,NW9 5HR
138,Colliers Wood,526831,170436,51.41875889952969,-0.1774150980496051,3,SW19 2HR
139,Coombe Lane,535201,164089,51.35978921448624,-0.059531571121806,"3,4,5,6",CR0 5RF
140,Coulsdon South,529869,159056,51.31580072052946,-0.1379030891827174,6,CR5 3EA
141,Coulsdon Town,530098,159802,51.32245273545386,-0.1343470562402079,6,CR5 2JA
142,Covent Garden,530242,180982,51.51276003353218,-0.1245068937369663,1,WC2E 9JT
143,Crayford,551479,174424,51.44854705225513,0.178502718160404,6,DA1 3PY
144,Crews Hill,530973,200109,51.68447443881015,-0.1068441000992872,6,EN2 8AY
145,Cricklewood,524009,185907,51.55842232306195,-0.2125479314767667,3,NW2 1HL
146,Crofton Park,536517,174739,51.45517923504132,-0.0365465817645417,3,SE4 2RA
147,Crossharbour & London Arena,537896,179301,51.49583995740512,-0.0149328130902497,2,E14 8AD
148,Crouch Hill,530586,187508,51.57132690836755,-0.1171332840976015,3,N4 4AU
149,Croxley,507921,195395,51.64700456011115,-0.4416037868779258,7,WD3 3DY
150,Crystal Palace,534120,170557,51.418170235167786,-0.0726072324587528,"3,4",SE19 2AZ
151,Cuffley,530700,202800,51.708720030860746,-0.1097834123961958,9,EN6 4HY
152,Custom House,540679,180911,51.50962210163043,0.0257725103052805,3,E16 3BX
153,Cutty Sark For Maritime Greenwich,538240,177764,51.48194445322957,-0.0105818667236087,2,SE10 9SW
154,Cyprus,543324,180863,51.50852668850102,0.0638407560748753,3,E6 5PH
155,Dagenham Dock,548900,183000,51.52628743708208,0.1450310152885246,5,RM9 6RA
156,Dagenham East,550284,185033,51.54418761328958,0.1658334333091666,5,RM10 8AA
157,Dagenham Heathway,549035,184665,51.54121203550144,0.1476797214740033,5,RM9 5AN
158,Dalston Junction,533580,184778,51.54609359547847,-0.0749942044988174,2,E8 3DL
159,Dalston Kingsland,533487,185062,51.54866769606561,-0.0762269216179967,2,E8 2JS
160,Dartford,554314,174378,51.44736897119779,0.219247797960786,8,DA1 1BP
161,Debden,544275,196133,51.64549214152591,0.0838014752563246,6,IG10 3TG
162,Denmark Hill,532697,176087,51.46820049292506,-0.090987869102917,2,SE5 8BB
163,Deptford,537165,177395,51.47889004331755,-0.0261963195339122,2,SE8 3NU
164,Deptford Bridge,537466,176912,51.47447673839478,-0.0220524287742925,"2,3",SE10 8BU
165,Devons Road,537603,182233,51.52225844074295,-0.0180077541751607,2,E3 3QX
166,Dollis Hill,522207,185132,51.55185020227431,-0.2387977583647576,3,NW10 5NB
167,Drayton Green,516002,180998,51.51600413801542,-0.3296112533786995,4,W13 0JX
168,Drayton Park,531426,185499,51.553078136383206,-0.1057701991034677,2,N5 1NT
169,Dundonald Road,524741,170233,51.41739780912452,-0.2075271102007702,"3,4,5,6",SW19 3QJ
170,Ealing Broadway,517920,180915,51.51486148277942,-0.3020103761336258,3,W5 2NU
171,Ealing Common,518963,180426,51.510248187933655,-0.2871514131053222,3,W5 3LD
172,Earls Court,525457,178480,51.49135635619762,-0.1943138070951425,"1,2",SW5 9QA
173,Earlsfield,526081,173030,51.44223850305,-0.1872726865431778,3,SW18 4SW
174,East Acton,521656,181159,51.51626301045364,-0.2481122212813141,2,W12 0BP
175,East Croydon,532904,165801,51.37571595390626,-0.0918634955366216,5,CR0 1LF
176,East Dulwich,533449,175375,51.46162545364044,-0.0804365711324548,2,SE22 8EF
177,East Finchley,527242,189204,51.5873322776344,-0.1647438844467196,3,N2 0NW
178,East Ham,542373,184255,51.53924625194368,0.0515162934805761,"3,4",E6 2JA
179,East India,538729,180753,51.5086840050616,-0.0023703315489933,"2,3",E14 9PS
180,East Putney,524387,174840,51.45887944035384,-0.2109982315959417,"2,3",SW15 6SN
181,Eastcote,511191,187627,51.57655117614093,-0.3968232901498021,5,HA5 1QZ
182,Eden Park,537396,167598,51.390796061854985,-0.0266697155140848,5,BR3 3HQ
183,Edgware,519527,192009,51.61422917451505,-0.2750936620617057,5,HA8 7AW
185,Edgware Road,527227,181711,51.519997771093394,-0.1676682526511785,1,NW1 5DH
186,Edmonton Green,534273,193590,51.62511560436454,-0.0616390192351294,4,N9 9DX
187,Elephant & Castle,531940,179144,51.49584922002923,-0.1007387142562823,"1,2",SE1 6LW
188,Elm Park,552446,185647,51.54912490990794,0.1972526842834268,6,RM12 4RW
189,Elmers End,535788,168389,51.39829103016248,-0.0494638321399583,4,BR3 4EJ
190,Elmstead Woods,542247,170656,51.41708070663452,0.0442293428430611,4,BR7 5EW
191,Elstree & Borehamwood,519098,196299,51.65287512084613,-0.279828614916371,6,WD6 3LS
192,Eltham,542690,174962,51.45566230922668,0.0523293078984463,4,SE9 6UB
193,Elverson Road,537848,176243,51.46837216503855,-0.016816376196184,"2,3",SE8 4LA
194,Embankment,530406,180380,51.50731229694681,-0.1223673356621198,1,WC2N 6NS
195,Emerson Park,553971,187918,51.56911527219532,0.2202229371998107,6,RM11 2JR
196,Enfield Chase,532181,196607,51.65272196544716,-0.0907042050119525,5,EN2 7AA
197,Enfield Lock,536437,198737,51.67084607825663,-0.0283910700615031,6,EN3 6BW
198,Enfield Town,532970,196544,51.65196994515368,-0.0793299217281958,5,EN1 1YB
199,Epping,546197,201552,51.69368635497796,0.1138255535142121,6,CM16 4HW
200,Epsom,520700,160900,51.33439102293239,-0.2687776762799517,9,KT19 8EW
201,Epsom Downs,522805,159756,51.32365904938116,-0.2389702234596616,6,KT17 4JX
202,Erith,551075,178096,51.48164796323426,0.1742612910268147,6,DA8 1TY
203,Essex Road,532114,184132,51.54063315566608,-0.0963655253611018,2,N1 2SU
204,Euston,529587,182735,51.528664114832,-0.1332964708191512,1,NW1 2DU
205,Euston Square,529454,182376,51.525468382999584,-0.1353444884426915,1,NW1 2BN
206,Ewell East,522571,162152,51.345243482663065,-0.2415029979804253,6,KT17 1QR
207,Ewell West,521473,162654,51.34999072305868,-0.2570891291976419,6,KT17 1TU
208,Fairlop,544902,190655,51.59610969417489,0.0905932799159299,4,IG6 3HD
209,Falconwood,544498,175394,51.45908592772001,0.0785096933805762,4,SE9 2RN
210,Farringdon,531585,181844,51.52019551919777,-0.1048430613167642,1,EC1M 6BY
211,Feltham,510601,173298,51.44787850388705,-0.4098244711576437,6,TW13 4BY
212,Fenchurch Street,533434,180932,51.51156657985079,-0.0785541524539051,1,EC3M 4AJ
213,Fieldway,537665,163212,51.35131696970674,-0.0245032653332691,"3,4,5,6",CR0 0QA
214,Finchley Central,525232,190664,51.60090293685636,-0.1932206347116579,4,N3 2RY
215,Finchley Road,526293,184703,51.54709590643439,-0.1800505586324935,2,NW6 3BS
216,Finchley Road & Frognal,526035,185033,51.55011920011288,-0.1836512006949723,2,NW3 5HT
217,Finsbury Park,531385,186784,51.564635274841386,-0.1058814855289023,2,N4 3JU
218,Forest Gate,540447,185322,51.54931616108423,0.0241890915432563,3,E7 0QH
