,Line,Direction,Station from (A),Station to (B),Distance (Kms),Un-impeded Running Time (Mins),AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins)
129,Central,Westbound,Marble Arch,Lancaster Gate,1.2,1.62,2.0,2.0
130,Central,Westbound,Lancaster Gate,Queensway,0.9,1.65,1.75,1.75
131,Central,Westbound,Queensway,Notting Hill Gate,0.69,1.18,1.5,1.5
132,Central,Westbound,Notting Hill Gate,Holland Park,0.61,1.18,1.5,1.5
133,Central,Westbound,Holland Park,Shepherds Bush,0.87,1.52,1.75,1.75
134,Central,Westbound,Shepherds Bush,White City,1.16,2.77,3.74,3.97
135,Central,Westbound,White City,East Acton,2.06,2.67,3.0,3.0
136,Central,Westbound,East Acton,North Acton,1.11,1.57,2.12,2.54
137,Central,Westbound,North Acton,West Acton,1.77,2.52,2.85,2.76
138,Central,Westbound,West Acton,Ealing Broadway,1.53,3.07,2.76,2.82
139,Central,Westbound,North Acton,Hanger Lane,2.49,2.87,3.15,3.0
140,Central,Westbound,Hanger Lane,Perivale,2.1,2.07,2.28,2.25
141,Central,Westbound,Perivale,Greenford,1.69,2.0,2.27,2.25
142,Central,Westbound,Greenford,Northolt,1.78,2.15,2.37,2.28
143,Central,Westbound,Northolt,South Ruislip,2.28,2.25,2.52,2.5
144,Central,Westbound,South Ruislip,Ruislip Gardens,0.86,1.37,2.09,1.54
145,Central,Westbound,Ruislip Gardens,West Ruislip,2.04,2.68,2.86,2.75
146,Victoria,Southbound,Walthamstow Central,Blackhorse Road,1.45,2.12,2.0,2.0
147,Victoria,Southbound,Blackhorse Road,Tottenham Hale,1.37,1.9,2.36,2.0
148,Victoria,Southbound,Tottenham Hale,Seven Sisters,1.05,2.0,2.77,3.28
149,Victoria,Southbound,Seven Sisters,Finsbury Park,3.15,3.77,4.0,4.0
150,Victoria,Southbound,Finsbury Park,Highbury & Islington,1.93,2.9,2.89,2.55
151,Victoria,Southbound,Highbury & Islington,Kings Cross,2.45,2.77,3.5,3.5
152,Victoria,Southbound,Kings Cross,Euston,0.74,1.32,1.92,1.5
153,Victoria,Southbound,Euston,Warren Street,0.76,1.3,1.5,1.5
154,Victoria,Southbound,Warren Street,Oxford Circus,0.9,1.72,2.44,2.0
155,Victoria,Southbound,Oxford Circus,Green Park,1.14,1.78,2.0,2.04
156,Victoria,Southbound,Green Park,Victoria,1.09,1.88,2.5,2.54
157,Victoria,Southbound,Victoria,Pimlico,1.19,1.83,2.0,2.0
158,Victoria,Southbound,Pimlico,Vauxhall,0.8,1.4,1.5,1.54
159,Victoria,Southbound,Vauxhall,Stockwell,1.77,2.3,2.94,2.52
160,Victoria,Southbound,Stockwell,Brixton,1.46,2.03,2.5,2.5
161,Victoria,Northbound,Brixton,Stockwell,1.46,2.18,2.45,2.0
162,Victoria,Northbound,Stockwell,Vauxhall,1.77,2.23,2.5,2.5
