,Line,Direction,Station from (A),Station to (B),Distance (Kms),Un-impeded Running Time (Mins),AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins)
654,District,Westbound,Wimbledon Park,Wimbledon,1.5,3.5,3.02,3.08
655,District,Westbound,Earls Court,West Kensington,0.9,1.62,2.0,2.0
656,District,Westbound,West Kensington,Barons Court,0.64,1.32,1.5,1.5
657,District,Westbound,Barons Court,Hammersmith,0.68,1.33,1.5,1.5
658,District,Westbound,Hammersmith,Ravenscourt Park,0.93,1.63,2.0,2.0
659,District,Westbound,Ravenscourt Park,Stamford Brook,0.77,1.37,1.5,1.5
660,District,Westbound,Stamford Brook,Turnham Green,0.55,1.17,1.97,1.58
661,District,Westbound,Turnham Green,Chiswick Park,0.95,1.58,2.0,2.0
662,District,Westbound,Chiswick Park,Acton Town,1.22,1.83,2.63,2.06
663,District,Westbound,Acton Town,Ealing Common,1.03,1.5,2.0,2.0
664,District,Westbound,Ealing Common,Ealing Broadway,1.5,3.5,3.5,3.54
665,District,Westbound,Turnham Green,Gunnersbury,1.59,2.28,3.15,3.0
666,District,Westbound,Gunnersbury,Kew Gardens,1.71,2.43,2.5,2.5
667,District,Westbound,Kew Gardens,Richmond,2.14,4.1,3.57,3.5
668,District,Eastbound,Ealing Broadway,Ealing Common,1.5,2.67,3.0,3.0
669,District,Eastbound,Ealing Common,Acton Town,1.03,1.9,3.26,2.96
670,District,Eastbound,Acton Town,Chiswick Park,1.22,1.8,2.0,2.0
671,District,Eastbound,Chiswick Park,Turnham Green,0.95,1.48,2.07,2.09
672,District,Eastbound,Turnham Green,Stamford Brook,0.55,1.15,1.5,1.5
673,District,Eastbound,Stamford Brook,Ravenscourt Park,0.77,1.4,1.5,1.5
674,District,Eastbound,Ravenscourt Park,Hammersmith,0.93,1.85,2.0,2.0
675,District,Eastbound,Hammersmith,Barons Court,0.68,1.43,2.0,2.0
676,District,Eastbound,Barons Court,West Kensington,0.64,1.28,1.5,1.5
677,District,Eastbound,West Kensington,Earls Court,0.9,2.17,2.63,3.3
678,District,Eastbound,Richmond,Kew Gardens,2.14,3.1,3.02,3.0
679,District,Eastbound,Kew Gardens,Gunnersbury,1.71,2.42,3.0,3.0
680,District,Eastbound,Gunnersbury,Turnham Green,1.59,2.6,4.02,3.67
681,District,Eastbound,Wimbledon,Wimbledon Park,1.5,2.82,3.0,3.0
682,District,Eastbound,Wimbledon Park,Southfields,1.45,2.18,2.0,2.0
683,District,Eastbound,Southfields,East Putney,1.53,2.37,2.5,2.5
684,District,Eastbound,East Putney,Putney Bridge,1.11,1.85,2.0,2.0
685,District,Eastbound,Putney Bridge,Parsons Green,0.95,1.92,2.0,2.0
686,District,Eastbound,Parsons Green,Fulham Broadway,0.79,1.48,2.0,2.0
687,District,Eastbound,Fulham Broadway,West Brompton,0.84,1.57,1.5,1.5
688,District,Eastbound,West Brompton,Earls Court,0.6,1.42,3.44,3.24
689,District,Eastbound,Kensington,Earls Court,1.54,2.73,3.65,3.94
690,District,Eastbound,Earls Court,High Street Kensington,1.26,3.05,3.58,3.12
691,District,Eastbound,High Street Kensington,Notting Hill Gate,0.93,1.68,2.0,2.0
692,District,Eastbound,Notting Hill Gate,Bayswater,0.79,1.77,2.0,2.0
693,District,Eastbound,Bayswater,Paddington,0.98,1.63,2.45,2.01
694,District,Eastbound,Paddington,Edgware Road,0.82,2.15,2.5,2.5
695,District,Eastbound,Earls Court,Gloucester Road,0.93,1.92,2.53,2.65
696,District,Eastbound,Gloucester Road,South Kensington,0.74,1.43,1.5,1.5
697,District,Eastbound,South Kensington,Sloane Square,1.22,1.98,2.0,2.0
698,District,Eastbound,Sloane Square,Victoria,1.05,1.8,2.0,2.0
699,District,Eastbound,Victoria,St James Park,0.72,1.42,1.5,1.5
700,District,Eastbound,St James Park,Westminster,0.76,1.5,2.0,2.0
701,District,Eastbound,Westminster,Embankment,0.69,1.37,2.0,2.0
702,District,Eastbound,Embankment,Temple,0.71,1.37,2.0,2.0
703,District,Eastbound,Temple,Blackfriars,0.76,1.4,2.0,2.0
704,District,Eastbound,Blackfriars,Mansion House,0.61,1.52,1.98,1.52
705,District,Eastbound,Mansion House,Cannon Street,0.31,0.98,1.0,1.0
706,District,Eastbound,Cannon Street,Monument,0.34,0.97,1.5,1.5
707,District,Eastbound,Monument,Tower Hill,0.68,1.8,2.08,2.43
708,District,Eastbound,Tower Hill,Aldgate East,0.8,1.88,2.91,2.21
709,District,Eastbound,Aldgate East,Whitechapel,0.82,2.17,2.72,2.76
710,District,Eastbound,Whitechapel,Stepney Green,1.0,2.05,2.0,2.0
711,District,Eastbound,Stepney Green,Mile End,1.05,1.73,2.0,2.0
712,District,Eastbound,Mile End,Bow Road,0.55,1.27,1.51,1.5
713,District,Eastbound,Bow Road,Bromley By Bow,1.01,2.12,2.0,2.0
714,District,Eastbound,Bromley By Bow,West Ham,1.37,2.0,2.0,2.0
715,District,Eastbound,West Ham,Plaistow,0.76,1.43,2.04,2.0
716,District,Eastbound,Plaistow,Upton Park,1.29,1.97,2.0,2.0
717,District,Eastbound,Upton Park,East Ham,1.4,2.02,2.0,2.0
718,District,Eastbound,East Ham,Barking,2.29,3.78,3.9,4.06
719,District,Eastbound,Barking,Upney,1.38,1.97,2.05,2.01
720,District,Eastbound,Upney,Becontree,1.87,2.33,2.5,2.51
721,District,Eastbound,Becontree,Dagenham Heathway,1.37,1.88,2.5,2.51
722,District,Eastbound,Dagenham Heathway,Dagenham East,1.35,1.85,2.22,2.3
723,District,Eastbound,Dagenham East,Elm Park,2.37,2.85,3.0,3.0
724,District,Eastbound,Elm Park,Hornchurch,1.5,2.05,2.5,2.5
725,District,Eastbound,Hornchurch,Upminster Bridge,1.26,1.77,2.0,2.0
726,District,Eastbound,Upminster Bridge,Upminster,1.24,2.32,2.03,2.01
