,station_from,station_to,line,direction,distance_kms,un-impeded_running_time,running_time_av
115,Wanstead,Leytonstone,Central,Westbound,1.72,2.17,3.34
116,Leytonstone,Leyton,Central,Westbound,1.62,2.02,2.25
117,Leyton,Stratford,Central,Westbound,2.09,2.43,2.86
118,Stratford,Mile End,Central,Westbound,2.83,3.03,3.0
119,Mile End,Bethnal Green,Central,Westbound,1.64,1.97,2.36
120,Bethnal Green,Liverpool Street,Central,Westbound,2.27,2.77,3.36
121,Liverpool Street,Bank,Central,Westbound,0.74,1.65,2.0
122,Bank,St Pauls,Central,Westbound,0.74,1.63,2.0
123,St Pauls,Chancery Lane,Central,Westbound,1.03,1.52,1.75
124,Chancery Lane,Holborn,Central,Westbound,0.4,0.85,1.36
125,Holborn,Tottenham Court Road,Central,Westbound,0.88,1.38,1.75
126,Tottenham Court Road,Oxford Circus,Central,Westbound,0.58,1.02,1.5
127,Oxford Circus,Bond Street,Central,Westbound,0.66,1.03,1.25
128,Bond Street,Marble Arch,Central,Westbound,0.55,1.02,1.58
129,Marble Arch,Lancaster Gate,Central,Westbound,1.2,1.62,2.0
130,Lancaster Gate,Queensway,Central,Westbound,0.9,1.65,1.75
131,Queensway,Notting Hill Gate,Central,Westbound,0.69,1.18,1.5
132,Notting Hill Gate,Holland Park,Central,Westbound,0.61,1.18,1.5
133,Holland Park,Shepherds Bush,Central,Westbound,0.87,1.52,1.75
134,Shepherds Bush,White City,Central,Westbound,1.16,2.77,3.86
135,White City,East Acton,Central,Westbound,2.06,2.67,3.0
136,East Acton,North Acton,Central,Westbound,1.11,1.57,2.33
137,North Acton,West Acton,Central,Westbound,1.77,2.52,2.8
138,West Acton,Ealing Broadway,Central,Westbound,1.53,3.07,2.79
139,North Acton,Hanger Lane,Central,Westbound,2.49,2.87,3.08
140,Hanger Lane,Perivale,Central,Westbound,2.1,2.07,2.26
141,Perivale,Greenford,Central,Westbound,1.69,2.0,2.26
142,Greenford,Northolt,Central,Westbound,1.78,2.15,2.33
143,Northolt,South Ruislip,Central,Westbound,2.28,2.25,2.51
144,South Ruislip,Ruislip Gardens,Central,Westbound,0.86,1.37,1.82
145,Ruislip Gardens,West Ruislip,Central,Westbound,2.04,2.68,2.8
146,Walthamstow Central,Blackhorse Road,Victoria,Southbound,1.45,2.12,2.0
147,Blackhorse Road,Tottenham Hale,Victoria,Southbound,1.37,1.9,2.18
148,Tottenham Hale,Seven Sisters,Victoria,Southbound,1.05,2.0,3.02
149,Seven Sisters,Finsbury Park,Victoria,Southbound,3.15,3.77,4.0
150,Finsbury Park,Highbury & Islington,Victoria,Southbound,1.93,2.9,2.72
151,Highbury & Islington,Kings Cross St Pancras,Victoria,Southbound,2.45,2.77,3.5
152,Kings Cross St Pancras,Euston,Victoria,Southbound,0.74,1.32,1.71
153,Euston,Warren Street,Victoria,Southbound,0.76,1.3,1.5
154,Warren Street,Oxford Circus,Victoria,Southbound,0.9,1.72,2.22
155,Oxford Circus,Green Park,Victoria,Southbound,1.14,1.78,2.02
156,Green Park,Victoria,Victoria,Southbound,1.09,1.88,2.52
157,Victoria,Pimlico,Victoria,Southbound,1.19,1.83,2.0
158,Pimlico,Vauxhall,Victoria,Southbound,0.8,1.4,1.52
159,Vauxhall,Stockwell,Victoria,Southbound,1.77,2.3,2.73
160,Stockwell,Brixton,Victoria,Southbound,1.46,2.03,2.5
161,Brixton,Stockwell,Victoria,Northbound,1.46,2.18,2.22
162,Stockwell,Vauxhall,Victoria,Northbound,1.77,2.23,2.5
163,Vauxhall,Pimlico,Victoria,Northbound,0.8,1.37,1.5
164,Pimlico,Victoria,Victoria,Northbound,1.19,2.18,2.74
165,Victoria,Green Park,Victoria,Northbound,1.09,1.95,2.0
166,Green Park,Oxford Circus,Victoria,Northbound,1.14,1.97,2.24
167,Oxford Circus,Warren Street,Victoria,Northbound,0.9,1.53,2.26
168,Warren Street,Euston,Victoria,Northbound,0.76,1.32,1.5
169,Euston,Kings Cross St Pancras,Victoria,Northbound,0.74,1.35,2.0
170,Kings Cross St Pancras,Highbury & Islington,Victoria,Northbound,2.45,2.87,3.0
171,Highbury & Islington,Finsbury Park,Victoria,Northbound,1.93,2.4,2.76
172,Finsbury Park,Seven Sisters,Victoria,Northbound,3.15,4.25,5.55
173,Seven Sisters,Tottenham Hale,Victoria,Northbound,1.05,1.6,1.5
174,Tottenham Hale,Blackhorse Road,Victoria,Northbound,1.37,1.97,2.5
175,Blackhorse Road,Walthamstow Central,Victoria,Northbound,1.45,2.12,2.02
176,Waterloo,Bank,Waterloo & City,Eastbound,2.37,4.87,4.0
177,Bank,Waterloo,Waterloo & City,Westbound,2.37,4.2,3.75
178,Stanmore,Canons Park,Jubilee,Eastbound,1.27,1.95,2.0
179,Canons Park,Queensbury,Jubilee,Eastbound,1.71,1.93,2.5
180,Queensbury,Kingsbury,Jubilee,Eastbound,1.33,1.72,2.0
181,Kingsbury,Wembley Park,Jubilee,Eastbound,2.85,3.47,4.64
182,Wembley Park,Neasden,Jubilee,Eastbound,2.28,2.6,3.02
183,Neasden,Dollis Hill,Jubilee,Eastbound,0.85,1.43,1.5
184,Dollis Hill,Willesden Green,Jubilee,Eastbound,1.21,1.8,2.12
185,Willesden Green,Kilburn,Jubilee,Eastbound,1.19,1.68,2.0
186,Kilburn,West Hampstead,Jubilee,Eastbound,1.09,1.63,2.25
187,West Hampstead,Finchley Road,Jubilee,Eastbound,0.61,1.25,1.5
188,Finchley Road,Swiss Cottage,Jubilee,Eastbound,0.61,1.18,1.5
189,Swiss Cottage,St Johns Wood,Jubilee,Eastbound,0.92,1.52,2.0
190,St Johns Wood,Baker Street,Jubilee,Eastbound,2.06,2.77,3.5
191,Baker Street,Bond Street,Jubilee,Eastbound,1.66,2.1,2.5
192,Bond Street,Green Park,Jubilee,Eastbound,1.37,1.78,2.5
193,Green Park,Westminster,Jubilee,Eastbound,1.34,1.87,2.5
194,Westminster,Waterloo,Jubilee,Eastbound,0.96,1.38,2.0
195,Waterloo,Southwark,Jubilee,Eastbound,0.44,1.02,1.0
196,Southwark,London Bridge,Jubilee,Eastbound,1.26,1.65,2.5
197,London Bridge,Bermondsey,Jubilee,Eastbound,1.93,2.25,2.5
198,Bermondsey,Canada Water,Jubilee,Eastbound,1.06,1.48,2.0
199,Canada Water,Canary Wharf,Jubilee,Eastbound,2.41,2.5,3.01
200,Canary Wharf,North Greenwich,Jubilee,Eastbound,1.71,2.23,3.34
201,North Greenwich,Canning Town,Jubilee,Eastbound,1.71,2.15,2.5
202,Canning Town,West Ham,Jubilee,Eastbound,1.58,2.15,2.76
203,West Ham,Stratford,Jubilee,Eastbound,1.54,3.15,4.34
204,Stratford,West Ham,Jubilee,Westbound,1.54,2.42,3.31
205,West Ham,Canning Town,Jubilee,Westbound,1.58,2.13,2.5
206,Canning Town,North Greenwich,Jubilee,Westbound,1.71,2.17,3.03
207,North Greenwich,Canary Wharf,Jubilee,Westbound,1.71,1.98,2.52
208,Canary Wharf,Canada Water,Jubilee,Westbound,2.41,2.63,3.0
209,Canada Water,Bermondsey,Jubilee,Westbound,1.06,1.52,2.0
210,Bermondsey,London Bridge,Jubilee,Westbound,1.93,2.17,2.5
211,London Bridge,Southwark,Jubilee,Westbound,1.26,1.77,2.0
212,Southwark,Waterloo,Jubilee,Westbound,0.44,0.97,1.5
213,Waterloo,Westminster,Jubilee,Westbound,0.96,1.43,2.22
214,Westminster,Green Park,Jubilee,Westbound,1.34,1.82,2.0
215,Green Park,Bond Street,Jubilee,Westbound,1.37,1.82,2.5
216,Bond Street,Baker Street,Jubilee,Westbound,1.66,2.28,2.5
217,Baker Street,St Johns Wood,Jubilee,Westbound,2.06,2.85,3.5
218,St Johns Wood,Swiss Cottage,Jubilee,Westbound,0.92,1.52,1.5
219,Swiss Cottage,Finchley Road,Jubilee,Westbound,0.61,1.18,2.0
220,Finchley Road,West Hampstead,Jubilee,Westbound,0.61,1.2,1.5
221,West Hampstead,Kilburn,Jubilee,Westbound,1.09,1.55,2.0
222,Kilburn,Willesden Green,Jubilee,Westbound,1.19,2.07,2.27
223,Willesden Green,Dollis Hill,Jubilee,Westbound,1.21,1.67,2.0
224,Dollis Hill,Neasden,Jubilee,Westbound,0.85,1.38,1.56
225,Neasden,Wembley Park,Jubilee,Westbound,2.28,2.65,3.64
226,Wembley Park,Kingsbury,Jubilee,Westbound,2.85,3.47,4.0
227,Kingsbury,Queensbury,Jubilee,Westbound,1.33,1.85,2.0
228,Queensbury,Canons Park,Jubilee,Westbound,1.71,2.23,2.5
229,Canons Park,Stanmore,Jubilee,Westbound,1.27,2.87,3.16
230,Edgware,Burnt Oak,Northern,Southbound,1.47,2.43,2.5
231,Burnt Oak,Colindale,Northern,Southbound,1.31,1.98,2.5
232,Colindale,Hendon Central,Northern,Southbound,2.1,2.83,3.0
233,Hendon Central,Brent Cross,Northern,Southbound,1.1,1.73,2.0
234,Brent Cross,Golders Green,Northern,Southbound,1.55,2.57,3.34
235,Golders Green,Hampstead,Northern,Southbound,2.34,3.42,3.5
236,Hampstead,Belsize Park,Northern,Southbound,1.2,1.82,2.0
237,Belsize Park,Chalk Farm,Northern,Southbound,1.1,1.77,2.0
238,Chalk Farm,Camden Town,Northern,Southbound,0.85,1.53,2.59
239,High Barnet,Totteridge & Whetstone,Northern,Southbound,2.46,3.67,3.5
240,Totteridge & Whetstone,Woodside Park,Northern,Southbound,1.5,2.23,2.5
241,Woodside Park,West Finchley,Northern,Southbound,0.98,1.7,1.5
242,West Finchley,Finchley Central,Northern,Southbound,1.14,2.08,2.82
243,Mill Hill East,Finchley Central,Northern,Southbound,1.52,2.75,3.14
244,Finchley Central,East Finchley,Northern,Southbound,2.42,3.37,3.5
245,East Finchley,Highgate,Northern,Southbound,1.63,3.0,3.0
246,Highgate,Archway,Northern,Southbound,1.7,2.8,3.0
247,Archway,Tufnell Park,Northern,Southbound,0.88,1.6,1.5
248,Tufnell Park,Kentish Town,Northern,Southbound,0.8,1.42,1.5
249,Kentish Town,Camden Town,Northern,Southbound,1.15,1.93,3.08
250,Camden Town,Mornington Crescent,Northern,Southbound,0.64,1.63,1.5
251,Mornington Crescent,Euston,Northern,Southbound,0.82,1.52,2.0
252,Euston,Warren Street,Northern,Southbound,0.58,1.18,1.5
253,Warren Street,Goodge Street,Northern,Southbound,0.46,1.07,1.5
254,Goodge Street,Tottenham Court Road,Northern,Southbound,0.62,1.32,1.62
255,Tottenham Court Road,Leicester Square,Northern,Southbound,0.4,0.98,1.0
256,Leicester Square,Charing Cross,Northern,Southbound,0.46,1.2,1.74
257,Charing Cross,Embankment,Northern,Southbound,0.27,0.8,1.0
258,Embankment,Waterloo,Northern,Southbound,0.7,1.37,1.5
259,Waterloo,Kennington,Northern,Southbound,1.89,2.97,3.68
260,Camden Town,Euston,Northern,Southbound,1.71,2.95,3.52
261,Euston,Kings Cross St Pancras,Northern,Southbound,0.61,1.53,1.5
262,Kings Cross St Pancras,Angel,Northern,Southbound,1.38,2.18,2.5
263,Angel,Old Street,Northern,Southbound,1.44,2.87,3.0
264,Old Street,Moorgate,Northern,Southbound,0.69,1.37,1.76
265,Moorgate,Bank,Northern,Southbound,0.82,1.9,2.0
266,Bank,London Bridge,Northern,Southbound,0.69,1.55,2.12
267,London Bridge,Borough,Northern,Southbound,0.67,1.45,1.5
268,Borough,Elephant & Castle,Northern,Southbound,0.85,1.72,2.0
269,Elephant & Castle,Kennington,Northern,Southbound,0.9,2.03,3.24
270,Kennington,Oval,Northern,Southbound,0.82,1.58,2.0
271,Oval,Stockwell,Northern,Southbound,1.36,2.2,2.5
272,Stockwell,Clapham North,Northern,Southbound,0.82,1.55,1.5
273,Clapham North,Clapham Common,Northern,Southbound,0.62,1.4,1.5
274,Clapham Common,Clapham South,Northern,Southbound,1.25,2.0,2.5
275,Clapham South,Balham,Northern,Southbound,1.15,1.88,2.0
276,Balham,Tooting Bec,Northern,Southbound,0.98,1.67,2.0
277,Tooting Bec,Tooting Broadway,Northern,Southbound,1.1,1.77,2.0
278,Tooting Broadway,Colliers Wood,Northern,Southbound,1.2,1.98,2.0
279,Colliers Wood,South Wimbledon,Northern,Southbound,1.14,1.88,2.0
280,South Wimbledon,Morden,Northern,Southbound,1.46,2.95,3.56
281,Morden,South Wimbledon,Northern,Northbound,1.46,2.35,2.5
282,South Wimbledon,Colliers Wood,Northern,Northbound,1.14,1.85,2.0
283,Colliers Wood,Tooting Broadway,Northern,Northbound,1.2,1.97,2.0
284,Tooting Broadway,Tooting Bec,Northern,Northbound,1.1,1.88,2.0
285,Tooting Bec,Balham,Northern,Northbound,0.98,1.65,2.0
286,Balham,Clapham South,Northern,Northbound,1.15,1.8,2.0
287,Clapham South,Clapham Common,Northern,Northbound,1.25,2.2,2.5
288,Clapham Common,Clapham North,Northern,Northbound,0.62,1.32,1.63
289,Clapham North,Stockwell,Northern,Northbound,0.82,1.72,2.24
290,Stockwell,Oval,Northern,Northbound,1.36,2.03,2.5
291,Oval,Kennington,Northern,Northbound,0.82,1.7,2.86
292,Kennington,Elephant & Castle,Northern,Northbound,0.9,1.8,2.0
