,Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
107,Hillingdon,507567,185015,51.553776781763695,-0.4498979816230209,6,UB10 9NR
108,Holborn,530553,181488,51.51723554139566,-0.1198405066029367,1,WC2B 6AA
109,Holland Park,524564,180215,51.50714614814041,-0.2065577754123284,2,W11 3RB
110,Holloway Road,530930,185457,51.552815921064415,-0.1129356962168598,2,N7 8HS
111,Hornchurch,553931,186274,51.55435547079002,0.2189269994111758,6,RM12 6LS
112,Hounslow Central,513592,175928,51.47092516879989,-0.3659581213668801,4,TW3 1JG
113,Hounslow East,514327,176254,51.47370731480755,-0.3552753144989688,4,TW3 4AB
114,Hounslow West,512215,176140,51.47310508637143,-0.385707619977202,5,TW3 3DH
115,Hyde Park Corner,528330,179801,51.502583765542106,-0.1524741126318679,1,SW1X 7LY
116,Ickenham,508127,185811,51.56082433291199,-0.4415795012687994,6,UB10 8PD
117,Kennington,531660,178337,51.48866228881571,-0.1050706127740003,2,SE11 4JQ
118,Kensal Green,523241,182784,51.53052384871879,-0.2247133811380436,2,NW10 5JT
119,Kensington,524324,179178,51.49787935712583,-0.2103792397678828,2,W14 0NE
120,Kentish Town,529029,185096,51.55000929428177,-0.1404712627005257,2,NW5 2AA
121,Kenton,516833,188304,51.5814957703514,-0.3152168608263206,4,HA3 0XS
122,Kew Gardens,519173,176708,51.476788671230366,-0.2853810066761743,"3,4",TW9 3PZ
123,Kilburn,524589,184644,51.54694410286596,-0.2046327166992552,2,NW6 7QL
124,Kilburn Park,525361,183349,51.53513522184343,-0.1939660549397059,2,NW6 5AD
125,Kings Cross,530312,182991,51.53079799248029,-0.1227564205266309,1,N1 9AL
126,Kings Cross St Pancras,530236,182935,51.53031226194627,-0.1238721286870342,1,N1 9AL
127,Kingsbury,519361,188739,51.58487606349117,-0.2786016037131724,4,NW9 9EG
128,Knightsbridge,527765,179650,51.50135463701893,-0.1606644846228093,1,SW3 1ED
129,Ladbroke Grove,524284,181328,51.51721033175281,-0.2101981698917929,2,W10 6HJ
130,Lambeth North,531165,179489,51.49912976538859,-0.1117682604602059,1,SE1 7XG
131,Lancaster Gate,526711,180796,51.511890658328326,-0.1754299267897915,1,W2 4QH
132,Latimer Road,523789,180954,51.51395774487751,-0.2174596633172416,2,W10 6SZ
133,Leicester Square,529987,180812,51.51129097417173,-0.1282421466298067,1,WC2H 0AP
134,Leyton,538295,186244,51.55813226231266,-0.006465331580603,3,E10 5PS
135,Leytonstone,539345,187429,51.56852230672617,0.0091404519570612,"3,4",E11 1HE
136,Liverpool Street,533160,181596,51.51759813225402,-0.0822496218888544,1,EC2M 7PR
137,London Bridge,532937,180152,51.50467420930433,-0.0860055977481396,1,SE1 2SW
138,Loughton,542314,195641,51.641570570828016,0.0552790792874478,6,IG10 4PD
139,Maida Vale,525967,182792,51.5299947556212,-0.1854326449358559,2,W9 1JS
140,Manor House,532074,187482,51.570746986190926,-0.0956849757319274,"2,3",N4 1BZ
141,Mansion House,532347,180962,51.5120915984511,-0.0941976572437842,1,EC4N 6JD
142,Marble Arch,527875,181056,51.51396523465938,-0.1585712147927576,1,W1C 2JS
143,Marylebone,527510,181985,51.52239640326536,-0.1634925623109129,1,NW1 6JJ
